client_id	nom	cognom1	sexe	data_naixement	pais_origen_id
10070	Reuven	Garigliano	M	14/10/1985	9
10071	Hisao	Lipner	M	01/10/1987	18
10072	Hironoby	Sidou	F	21/07/1988	3
10073	Shir	McClurg	M	01/12/1991	3
10074	Mokhtar	Bernatsky	F	13/08/1990	14
10075	Gao	Dolinsky	F	19/03/1987	2
10076	Erez	Ritzmann	F	09/07/1985	8
10077	Mona	Azuma	M	02/03/1990	15
10078	Danel	Mondadori	F	26/05/1987	3
10079	Kshitij	Gils	F	27/03/1986	9
10080	Premal	Baek	M	19/11/1985	9
10081	Zhongwei	Rosen	M	30/10/1986	10
10082	Parviz	Lortz	M	03/01/1990	6
10083	Vishv	Zockler	M	31/03/1987	7
10084	Tuval	Kalloufi	M	15/12/1995	16
10085	Kenroku	Malabarba	M	09/04/1994	5
10086	Somnath	Foote	M	16/02/1990	7
10087	Xinglin	Eugenio	F	08/09/1986	15
10088	Jungsoon	Syrzycki	F	02/09/1988	4
10089	Sudharsan	Flasterstein	F	12/08/1986	16
10090	Kendra	Hofting	M	14/03/1986	19
10091	Amabile	Gomatam	M	18/11/1992	5
10092	Valdiodio	Niizuma	F	22/09/1989	5
10093	Sailaja	Desikan	M	05/11/1996	1
10094	Arumugam	Ossenbruggen	F	18/04/1987	10
10095	Hilari	Morton	M	15/07/1986	2
10096	Jayson	Mandell	M	14/01/1990	8
10097	Remzi	Waschkowski	M	15/09/1990	1
10098	Sreekrishna	Servieres	F	13/05/1985	15
10099	Valter	Sullins	F	18/10/1988	10
10100	Hironobu	Haraldson	F	21/09/1987	13
10101	Perla	Heyers	F	28/12/1992	17
10102	Paraskevi	Luby	F	26/01/1994	15
10103	Akemi	Birch	M	02/12/1986	8
10104	Xinyu	Warwick	M	16/04/1987	2
10105	Hironoby	Piveteau	M	23/03/1999	12
10106	Eben	Aingworth	M	19/12/1990	17
10107	Dung	Baca	F	22/03/1994	11
10108	Lunjin	Giveon	M	02/10/1986	17
10109	Mariusz	Prampolini	F	16/06/1993	13
10110	Xuejia	Ullian	F	22/08/1986	18
10111	Hugo	Rosis	F	19/06/1988	5
10112	Yuichiro	Swick	F	08/10/1985	11
10113	Jaewon	Syrzycki	M	24/12/1989	9
10114	Munir	Demeyer	F	17/07/1992	5
10115	Chikara	Rissland	M	23/01/1986	5
10116	Dayanand	Czap	F	28/05/1985	11
10117	Kiyotoshi	Blokdijk	F	28/05/1990	18
10118	Zhonghui	Zyda	F	13/09/1990	19
10119	Domenick	Peltason	M	14/03/1986	16
10120	Armond	Fairtlough	F	06/07/1996	13
10121	Guoxiang	Ramsay	M	03/05/1989	7
10122	Ohad	Esposito	M	23/12/1992	15
10123	Hinrich	Randi	M	15/01/1993	18
10124	Geraldo	Marwedel	M	05/09/1991	2
10125	Syozo	Hiltgen	F	26/10/1990	13
10126	Kayoko	Valtorta	M	08/09/1985	3
10127	Subir	Baja	F	14/01/1989	8
10128	Babette	Lamba	F	06/06/1988	18
10129	Armond	Peir	M	10/12/1985	10
10130	Nishit	Casperson	M	21/06/1988	19
10131	Magdalena	Eldridge	M	17/11/1994	19
10132	Ayakannu	Skrikant	M	30/10/1994	14
10133	Giri	Isaak	M	15/12/1985	3
10134	Diederik	Siprelle	M	12/12/1987	2
10135	Nathan	Monkewich	M	19/02/1988	14
10136	Zissis	Pintelas	M	11/02/1986	6
10137	Maren	Hutton	M	18/02/1985	5
10138	Perry	Shimshoni	M	18/09/1986	3
10139	Ewing	Foong	F	15/03/1998	15
10140	Yucel	Auria	F	14/03/1991	6
10141	Shahaf	Ishibashi	F	06/05/1993	13
10142	Tzvetan	Hettesheimer	M	28/10/1993	13
10143	Sakthirel	Bakhtari	M	30/09/1988	17
10144	Marla	Brendel	M	14/10/1985	5
10145	Akemi	Esposito	F	01/08/1987	8
10146	Chenyi	Syang	M	28/06/1988	18
10147	Kazuhito	Encarnacion	M	21/08/1986	13
10148	Douadi	Azumi	M	10/10/1995	4
10149	Xiadong	Perry	F	05/11/1986	7
10150	Zhenbing	Perng	F	16/11/1986	9
10151	Itzchak	Lichtner	M	10/04/1990	13
10152	Jaques	Munro	F	27/01/1986	5
10153	Heekeun	Majewski	M	08/04/1987	5
10154	Abdulah	Thibadeau	F	12/12/1990	1
10155	Adas	Nastansky	M	05/01/1990	7
10156	Sumali	Fargier	M	10/03/1985	14
10157	Nigel	Aloisi	M	02/11/1985	15
10158	Khedija	Mitsuhashi	M	29/01/1986	16
10159	Serif	Buescher	M	29/05/1991	7
10160	Debatosh	Khasidashvili	M	30/01/1989	18
10161	Hairong	Mellouli	F	03/04/1988	15
10162	Florina	Eugenio	M	01/05/1991	14
10163	Karsten	Szmurlo	M	19/07/1989	14
10164	Jagoda	Braunmuhl	M	12/11/1985	1
10165	Miyeon	Macedo	M	17/05/1988	9
10166	Samphel	Siegrist	F	01/01/1993	14
10167	Duangkaew	Rassart	M	04/04/1992	3
10168	Dharmaraja	Stassinopoulos	M	06/12/1986	2
10169	Sampalli	Snedden	F	24/07/1992	8
10170	Kasturi	Jenevein	F	02/01/1986	12
10171	Herbert	Trachtenberg	M	22/07/1989	4
10172	Shigeu	Matzen	F	13/10/1995	17
10173	Shrikanth	Mahmud	M	21/03/1992	11
10174	Badri	Furudate	M	01/06/1987	5
10175	Aleksandar	Ananiadou	F	11/01/1988	7
10176	Brendon	Lenart	F	22/12/1994	11
10177	Pragnesh	Iisaka	M	06/02/1993	15
10178	Valery	Litvinov	M	07/10/1986	6
10179	Deniz	Duclos	F	04/10/1990	10
10180	Shaw	Wendorf	M	25/02/1986	18
10181	Sibyl	Nooteboom	M	22/06/1988	9
10182	Moriyoshi	Merey	F	02/09/1990	12
10183	Mechthild	Bonifati	M	11/08/1996	11
10184	Mihalis	Lowrie	M	29/10/1987	7
10185	Duro	Sidhu	F	01/03/1986	4
10186	Shigehito	Kropatsch	M	28/03/1986	1
10187	Tommaso	Narwekar	F	01/06/1991	17
10188	Christ	Muchinsky	F	27/08/1987	1
10189	Khalid	Erva	M	05/10/1989	15
10190	Arve	Fairtlough	F	23/06/1986	12
10191	Zdislav	Nastansky	M	10/04/1986	5
10192	Mohua	Falck	M	13/06/1988	3
10193	Masaru	Cheshire	M	28/07/1991	6
10194	Josyula	Hofmeyr	F	15/05/1989	17
10195	Annemarie	Redmiles	M	15/02/1985	3
10196	Marc	Hellwagner	M	16/11/1994	17
10197	Kasidit	Krzyzanowski	F	22/11/1993	18
10198	Pranav	Furedi	M	31/08/1985	4
10199	Kazuhisa	Ranta	M	29/04/1997	6
10200	Vidya	Awdeh	M	16/10/1985	12
10201	Idoia	Kavraki	F	22/11/1986	12
10202	Greger	Lichtner	M	06/10/1991	8
10203	Steen	Escriba	M	06/04/1989	17
10204	Nevio	Ritcey	F	04/12/1986	13
10205	Mabhin	Leijenhorst	F	23/08/1993	3
10206	Alassane	Iwayama	F	19/04/1988	7
10207	Girolamo	Anandan	F	11/10/1992	10
10208	Xiping	Klerer	M	23/12/1991	12
10209	Yolla	Ellozy	F	23/11/1991	14
10210	Yuping	Alpin	M	10/05/1994	16
10211	Vishu	Strehl	F	18/11/1989	18
10212	Divier	Esteva	M	11/07/1990	10
10213	Jackson	Kakkad	M	06/11/1992	14
10214	Tadahiko	Ciolek	M	29/02/1988	6
10215	Xiaobin	Duclos	M	19/10/1987	6
10216	Amstein	Ghemri	M	30/10/1987	5
10217	Yongmin	Roison	F	12/05/1986	2
10218	Zhenhua	Magalhaes	M	15/01/1997	10
10219	Genta	Kolvik	M	31/03/1993	4
10220	Kish	Fasbender	F	25/06/1992	4
10221	Yucai	Granlund	M	08/06/1988	17
10222	Tze	Nourani	M	08/06/1986	12
10223	Carrsten	Schmiedel	F	18/11/1985	12
10224	Leon	Trogemann	M	09/01/1988	1
10225	Kellie	Chinen	F	19/06/1986	7
10226	Xinglin	Plessier	M	27/10/1989	9
10227	Anneli	Kaiser	M	24/04/1994	5
10228	Karoline	Cesareni	F	26/08/1991	13
10229	Ulises	Takanami	M	22/11/1987	16
10230	Clyde	Vernadat	M	16/06/1996	6
10231	Shaowen	Desikan	F	13/04/1996	5
10232	Marko	Auria	F	04/06/1992	12
10233	Lein	Vendrig	F	05/07/1985	9
10234	Arunachalam	Bakhtari	M	19/11/1990	16
10235	Susanta	Roccetti	F	06/04/1995	15
10236	Susumu	Bade	F	30/08/1996	16
10237	Yannis	Mandell	F	11/08/1989	8
10238	Mototsugu	Gire	F	19/11/1986	17
10239	Nikolaos	Llado	F	08/05/1995	9
10240	Remko	Maccarone	M	06/10/1998	14
10241	Ortrud	Murillo	M	12/06/1988	17
10242	Lunjin	Ozeri	M	18/01/1988	3
10243	Wonhee	Pouyioutas	M	24/11/1985	18
10244	Foong	Flasterstein	M	23/12/1985	2
10245	Ramalingam	Gente	F	26/04/1985	14
10246	Basem	Teitelbaum	M	12/07/1987	1
10247	Heon	Riefers	F	14/08/1992	11
10248	Frederique	Tempesti	F	13/08/1991	5
10249	Marie	Boreale	M	08/12/1991	4
10250	Serap	Etalle	M	30/08/1992	9
10251	Alair	Rosenbaum	M	25/06/1992	5
10252	Shirish	Wegerle	F	08/11/1990	7
10253	Zsolt	Salinas	F	21/02/1985	11
10254	Shen	Brattka	M	14/06/1990	15
10255	Roddy	Garnick	M	12/05/1993	17
10256	Irene	Radhakrishnan	M	12/10/1985	1
10257	Aiman	Riexinger	M	05/08/1986	14
10258	Basil	Ishibashi	F	17/05/1985	1
10259	Susanna	Vesel	M	25/06/1986	14
10260	Alper	Suomi	F	13/04/1991	10
10261	Mang	Erie	M	20/10/1993	5
10262	Mahendra	Maraist	F	27/07/1992	2
10263	Takahiro	Waterhouse	M	05/02/1994	14
10264	Nalini	Kawashimo	F	16/07/1997	15
10265	Ramalingam	Muniz	M	13/07/1989	1
10266	Sukumar	Rassart	M	25/05/1990	4
10267	Shaunak	Cullers	M	11/12/1996	6
10268	Nishit	Siochi	M	17/12/1986	14
10269	Taizo	Oxman	F	24/07/1988	6
10270	Bedir	Hartvigsen	F	26/04/1990	10
10271	Sham	Eastman	M	23/05/1986	1
10272	Yishai	Cannane	M	23/05/1988	6
10273	Baocai	Lieblein	M	06/11/1985	7
10274	Dmitri	Pearson	F	21/04/1991	15
10275	Marek	Luck	F	08/09/1987	10
10276	Xuejun	Hempstead	M	21/07/1985	12
10277	Isaac	Schwartzbauer	M	16/06/1985	5
10278	Lubomir	Nitsch	M	17/05/1991	1
10279	Barton	Jumpertz	F	20/12/1994	10
10280	Stabislas	Delgrange	M	18/03/1988	12
10281	Moty	Kusakari	M	03/12/1994	17
10282	Hercules	Benzmuller	M	04/06/1986	7
10283	Kauko	Birjandi	M	25/05/1988	17
10284	Masali	Murrill	F	02/07/1997	19
10285	Zhonghui	Preusig	F	27/02/1995	19
10286	Saddek	Gopalakrishnan	F	21/03/1988	4
10287	Marie	Pietracaprina	M	28/12/1992	19
10288	Selwyn	Perri	M	29/08/1994	5
10289	Shay	Poulakidas	M	06/06/1990	14
10290	Yongmao	Pleszkun	M	18/09/1991	17
10291	Dipayan	Seghrouchni	M	29/09/1986	10
10292	Yucel	Ghelli	F	05/06/1989	8
10293	Mihalis	Avouris	F	12/12/1992	16
10294	Rutger	Miara	M	08/04/1996	18
10295	Kristine	Velardi	M	27/08/1990	10
10296	Petter	Lorho	M	16/09/1989	5
10297	Narain	Oaver	F	28/05/1986	9
10298	Dietrich	DuCasse	F	30/03/1999	8
10299	Ipke	Stentiford	F	10/01/1990	11
10300	Tadahiko	Ulupinar	F	17/05/1991	17
10301	Lucien	Staudhammer	M	23/05/1988	18
10302	Faiza	Baer	F	22/07/1986	3
10303	Marlo	Zschoche	M	05/02/1990	19
10304	Bernt	Erie	M	16/11/1992	13
10305	Hirochika	Piancastelli	M	31/10/1988	8
10306	Heng	Kilgour	M	06/09/1993	7
10307	Nikolaos	Leaver	M	10/04/1991	11
10308	Dzung	Holburn	F	29/12/1992	1
10309	Prodip	Schusler	F	20/06/1985	10
10310	Aksel	Alencar	M	24/10/1990	14
10311	Hsiangchu	Molenkamp	F	01/04/1991	3
10312	Rasiah	Deyuan	F	28/08/1986	2
10313	Subbu	Riexinger	M	10/10/1994	10
10314	Christfried	Apsitis	M	16/01/1986	12
10315	Maris	Angelopoulos	M	28/08/1987	4
10316	Christoper	Schwaller	M	04/09/1987	19
10317	Arie	Birge	M	10/12/1986	3
10318	Mototsugu	Beilner	F	29/06/1985	3
10319	Mechthild	Miyakawa	M	15/08/1985	15
10320	Uinam	Stasinski	F	03/11/1988	2
10321	Guenter	Ravishankar	M	24/09/1991	2
10322	Isamu	Dahlbom	F	29/01/1990	2
10323	Kankanahalli	Hinsberger	M	06/06/1991	5
10324	Bernardo	Rouquie	F	19/03/1988	13
10325	Arunachalam	Badr	M	20/09/1990	2
10326	Masali	Czap	F	13/05/1985	11
10327	Roded	Facello	M	18/09/1987	17
10328	Serenella	Kawashima	M	16/01/1994	14
10329	Remko	Shigei	F	20/01/1986	12
10330	Kasturi	Bellmore	M	12/06/1985	17
10331	Arto	Binkley	M	06/04/1985	14
10332	Masanao	Bain	F	08/06/1988	12
10333	Snehasis	Dymetman	M	16/01/1993	6
10334	Falguni	Erie	M	28/12/1996	19
10335	Toshimori	Bahi	F	06/04/1992	10
10336	Goa	Rothe	F	07/01/1992	17
10337	Jeong	Sadowsky	M	06/08/1995	6
10338	Heon	Ranai	M	01/09/1988	19
10339	Teunis	Liedekerke	M	30/11/1989	10
10340	Djelloul	Laventhal	M	05/06/1987	10
10341	Wilmer	Greenaway	F	29/04/1987	2
10342	Stella	Hiroyama	F	25/07/1987	11
10343	Dinah	Syrzycki	M	14/10/1993	8
10344	Uwe	Garnier	F	25/06/1994	4
10345	Arra	Ratnakar	M	08/11/1993	14
10346	Aamod	Radwan	M	27/01/1987	10
10347	Pradeep	Kaminger	M	12/12/1985	10
10348	Mahendra	Picco	F	22/10/1995	2
10349	Oksana	Brodie	F	28/09/1991	17
10350	Kristen	Kavvadias	F	19/08/1990	11
10351	Tadahiko	Strehl	F	07/03/1985	5
10352	Erzsebet	Ohori	M	21/01/1996	8
10353	Phule	Hammerschmidt	M	24/08/1989	18
10354	Moto	Kusakari	M	26/03/1996	16
10355	Satyanarayana	Cochrane	M	15/11/1987	16
10356	Vasilis	Standera	M	06/08/1988	9
10357	Hausi	Sidhu	M	04/04/1994	10
10358	Qunsheng	Tagansky	M	19/02/1991	9
10359	Heekeun	Sambasivam	F	09/05/1991	9
10360	Irene	Munck	M	04/09/1996	2
10361	Seshu	Sidou	F	23/10/1986	16
10362	Shalesh	dAstous	M	24/08/1988	16
10363	Toshiki	Muniz	F	11/09/1985	18
10364	Nakhoon	Dengi	M	14/11/1985	5
10365	Rosine	Granlund	F	02/06/1987	11
10366	Morrie	Piazza	M	11/04/1994	12
10367	Hyuckchul	Gini	M	24/06/1991	18
10368	Hatim	Koshiba	M	05/04/1991	4
10369	Qunsheng	Toyoshima	M	17/05/1986	16
10370	Clyde	Fandrianto	M	04/04/1992	2
10371	Ioana	Kirkerud	M	28/11/1989	8
10372	Anneli	Frijda	F	30/07/1985	15
10373	Hongzue	Heijenga	M	26/04/1997	17
10374	Willard	Rosin	F	08/12/1993	16
10375	Dante	Kalafatis	F	29/05/1994	9
10376	Fai	Bale	M	14/01/1989	14
10377	Marl	Grospietsch	M	07/05/1990	18
10378	Takahira	Lichtner	M	30/12/1990	5
10379	Mikhail	Rosis	M	15/07/1996	18
10380	Alejandro	Kamble	F	19/03/1985	11
10381	Jiong	Parfitt	M	04/12/1991	13
10382	Shirish	Dredge	M	04/07/1990	9
10383	Leucio	Aumann	M	19/06/1991	13
10384	Feiyu	Luft	M	16/01/1986	2
10385	Khatoun	Imataki	M	20/12/1992	7
10386	Eishiro	Miyakawa	F	02/08/1985	6
10387	Parto	Wrigley	F	19/02/1987	5
10388	Hironoby	Kaiser	M	24/03/1996	1
10389	Make	Peir	M	31/10/1995	19
10390	Wanqing	Bratten	M	17/05/1989	15
10391	Hongzue	Akaboshi	M	24/12/1989	9
10392	Jiann	Hainaut	M	01/03/1992	12
10393	Yagil	DasSarma	M	23/06/1989	8
10394	Shawna	Meriste	M	14/03/1991	9
10395	Takahiro	Deverell	M	04/02/1987	1
10396	Sibyl	Rahier	M	11/01/1986	19
10397	Irena	Reutenauer	M	21/05/1993	12
10398	Shooichi	Escriba	F	12/10/1990	3
10399	Guenter	Marchegay	F	07/05/1985	1
10400	Ortrud	Nitto	M	17/10/1993	3
10401	Eckart	Barriga	M	05/04/1991	6
10402	Volkmar	Ebeling	M	02/01/1987	16
10403	Atreyi	Mungall	F	13/09/1991	4
10404	Prodip	Rosti	F	28/08/1988	12
10405	Hilary	Budinsky	F	04/11/1985	13
10406	Sigeru	Wynblatt	F	11/03/1987	7
10407	Ulf	Siepmann	M	08/03/1990	5
10408	Martijn	Kaiser	M	07/10/1998	7
10409	Mario	Straney	M	09/07/1997	3
10410	Takahito	Gecsei	F	16/10/1993	12
10411	Lidong	Klerer	F	02/09/1989	9
10412	Masoud	Fabrizio	F	06/05/1986	14
10413	Danel	Impagliazzo	F	26/03/1990	16
10414	Yinlin	Alpin	M	30/05/1990	13
10415	Mark	Coorg	M	25/10/1993	13
10416	Uli	Keustermans	M	24/03/1989	2
10417	Bingning	Bakhtari	M	12/03/1992	19
10418	Candida	Porotnikoff	F	20/04/1989	9
10419	Maria	Bauknecht	F	25/04/1992	8
10420	Kaijung	Riesenhuber	M	17/01/1988	10
10421	Divine	Marzano	M	12/09/1989	7
10422	Greger	Rubsam	F	07/12/1990	2
10423	Dante	Cronin	F	06/09/1998	3
10424	Babette	Straney	M	07/08/1989	1
10425	Sashi	Osgood	M	29/10/1991	2
10426	Arunas	Luce	F	06/07/1985	6
10427	Khosrow	Sudbeck	F	01/11/1991	8
10428	Cathie	Brlek	M	04/06/1992	1
10429	Martien	Improta	F	09/03/1986	3
10430	Ferdinand	Chenney	M	16/11/1990	7
10431	Patricio	Bugrara	M	08/10/1987	7
10432	Hisao	Tiemann	F	30/04/1985	13
10433	Reuven	Dengi	M	14/02/1989	4
10434	Dzung	Peltason	F	27/06/1995	13
10435	Marsha	Tagansky	M	19/12/1986	18
10436	Yahiko	Lammel	M	30/01/1988	16
10437	Narain	Reeker	F	12/04/1996	2
10438	Evgueni	Srimani	F	19/01/1990	14
10439	Jolita	Jarecki	M	11/01/1990	16
10440	Akeel	Narahara	F	31/03/1994	9
10441	Adel	Perfilyeva	M	12/07/1988	16
10442	Volkmar	Unno	M	13/03/1988	12
10443	Shichao	Litvinov	F	01/08/1989	1
10444	Kazuhira	Rosis	M	31/03/1993	10
10445	Junichi	Kavanagh	F	04/11/1987	4
10446	Ebru	Chepyzhov	F	17/11/1994	5
10447	Ronghao	Yavatkar	F	29/12/1988	7
10448	Phule	Oxenboll	F	12/03/1992	13
10449	Aleksandar	Sudkamp	M	28/03/1987	14
10450	Khun	Harbusch	M	17/01/1990	16
10451	Bodh	Ranta	F	12/03/1988	13
10452	Werner	Hasham	M	05/09/1988	8
10453	Tsvetan	Matzel	F	02/04/1985	12
10454	Wonhee	Badr	M	10/04/1987	12
10455	Sverrir	Streng	F	14/02/1989	18
10456	Stepehn	Hardjono	F	25/12/1995	18
10457	Oddvar	Schlenzig	M	23/11/1991	15
10458	Gina	Engelmann	F	23/07/1988	3
10459	Ennio	Trogemann	M	28/06/1997	13
10460	Shushma	VanScheik	M	01/07/1994	2
10461	Gal	Karcich	M	03/08/1987	9
10462	Sumali	Schlenzig	M	25/03/1996	5
10463	Ung	Zaiane	M	25/12/1987	13
10464	Mang	Maginnis	F	09/10/1989	8
10465	Claudi	Shackel	M	01/09/1987	11
10466	Jiakeng	Himler	M	29/09/1985	14
10467	Dipayan	Suomi	F	14/07/1988	13
10468	Yoshimitsu	Shobatake	M	28/05/1991	6
10469	Munehiko	Ananiadou	M	05/06/1985	19
10470	Peternela	Iwayama	M	01/06/1988	12
10471	Jouko	Yamaashi	M	18/11/1990	11
10472	Salvador	Lodder	M	29/07/1996	11
10473	Przemyslawa	Oskamp	M	30/10/1987	11
10474	Kenton	Garnham	F	28/09/1985	5
10475	Mario	Rodite	M	19/01/1987	7
10476	Kokou	Iisaka	M	20/09/1987	15
10477	Guoxiang	Trogemann	F	04/03/1989	10
10478	Maik	Ushiama	M	09/06/1992	9
10479	Duro	Coney	F	28/02/1987	3
10480	Make	Baba	F	18/05/1988	9
10481	Yongmao	Pintelas	F	06/10/1988	11
10482	Goa	Pleszkun	F	20/07/1991	15
10483	Zhiwei	Anick	M	08/11/1992	7
10484	Nirmal	Varley	F	31/10/1995	12
10485	Teruyuki	Sundgren	M	27/10/1985	3
10486	Amstein	Kossowski	F	08/10/1987	15
10487	Perla	Middleton	F	14/08/1992	18
10488	Mihalis	Heering	M	09/06/1994	6
10489	Elvia	Homond	M	10/09/1989	18
10490	Huiqun	Vuskovic	F	07/10/1992	11
10491	Garnik	Narahari	M	17/01/1990	14
10492	Lobel	Kumaresan	M	24/04/1988	12
10493	Maris	Haraldson	M	16/05/1992	1
10494	Yakkov	Servieres	F	18/01/1986	4
10495	Anyuan	Zhiwei	F	29/09/1985	9
10496	Gretta	Baig	M	26/02/1987	6
10497	Pramod	Rabehasaina	M	22/01/1992	16
10498	Valter	Cappelletti	F	01/02/1988	13
10499	Maik	Luft	F	23/11/1989	5
10500	Vojin	Narwekar	M	16/12/1996	9
10501	Susuma	Larfeldt	M	20/04/1987	4
10502	Yonghoan	Marshall	M	04/03/1993	3
10503	Dannz	Pell	M	30/04/1991	9
10504	Xiong	Varker	M	03/12/1988	16
10505	Isamu	Auria	M	23/07/1985	16
10506	Kazuhisa	Kroll	F	01/12/1996	12
10507	Kasidit	Belinskaya	M	26/04/1985	6
10508	Kotesh	Liedekerke	M	01/05/1991	14
10509	Abdelwaheb	Riesenhuber	F	23/02/1990	5
10510	Keung	Slobodova	F	20/04/1990	2
10511	Khoa	Marrevee	M	27/01/1992	11
10512	Udi	Gihr	M	12/01/1986	9
10513	Yuichiro	Schicker	F	02/04/1991	18
10514	Tomofumi	McClure	M	29/04/1992	17
10515	Raimond	Kirkerud	M	28/10/1989	2
10516	Xiadong	Luga	M	19/10/1985	1
10517	Tiina	Speek	M	25/12/1990	4
10518	Marin	Lanphier	M	03/09/1993	5
10519	Yonghoan	Alencar	F	22/03/1986	1
10520	Jenwei	Ecklund	M	27/03/1994	9
10521	Kwangsub	Setia	M	11/05/1989	14
10522	Marke	Cesareni	F	12/12/1986	17
10523	Malu	Skafidas	M	28/12/1988	19
10524	Shigehiro	Cincotta	F	09/10/1985	4
10525	Yuchang	Lunt	M	08/07/1990	18
10526	Kwangho	Theuretzbacher	F	27/02/1988	18
10527	Tetsushi	Barvinok	F	25/01/1996	16
10528	Koichi	Lakshmanan	F	29/12/1991	2
10529	Ymte	Yetto	M	05/01/1992	11
10530	Boriana	Coors	F	23/09/1987	16
10531	Oguz	Gimbel	F	20/02/1991	11
10532	Mary	Wossner	F	18/05/1986	17
10533	Mohamadou	Smailagic	F	31/10/1986	5
10534	Dinah	Bahl	M	15/01/1989	1
10535	Shalesh	Stroustrup	F	21/02/1985	4
10536	Yechiam	Sambasivam	F	25/03/1988	15
10537	Stella	Benzmuller	M	25/09/1996	6
10538	Przemyslawa	Falby	M	23/07/1987	16
10539	Yucel	Reinhard	M	05/06/1990	16
10540	Martins	Barriga	M	03/05/1994	9
10541	Godehard	Eiter	M	28/02/1986	14
10542	Yannis	Couchot	F	28/03/1989	16
10543	Lein	Lichtman	M	16/10/1998	12
10544	Ishfaq	Krzyzanowski	F	29/04/1995	6
10545	Hauke	dAstous	M	30/06/1990	16
10546	Nechama	Schapiro	M	06/09/1987	3
10547	Snehasis	Brobst	M	14/02/1988	3
10548	Ramalingam	Gunderson	M	04/05/1986	14
10549	Beshir	Kisuki	M	26/10/1995	18
10550	Manton	Leuchs	M	03/02/1985	18
10551	Jeong	Rijsenbrij	M	06/08/1988	8
10552	Kazuhito	Shiratori	M	18/08/1998	15
10553	Rajmohan	Wallrath	F	27/10/1985	4
10554	Dines	Gerlach	M	28/11/1990	16
10555	Vitaly	Picci	M	06/11/1989	4
10556	JoAnna	Taubman	F	15/04/1992	4
10557	Sashi	Karlin	M	31/03/1986	7
